ce_vol,pe_ltp,pe_vol,ce_oi,pe_strength,ce_iv,ce_ltp,strike,ce_strength,symbol,ce_chg,pe_chg,pe_oi,pe_iv
21020,14.25,1011136,5082,1090748,11.24,312.75,25950,25830,NIFTY,-272,4145,75467,8.84
314118,19.25,2613352,47690,2861919,10.73,268.8,26000,355909,NIFTY,-5899,21855,226712,8.51
136092,25.75,1363285,10072,1432878,10.1,225.25,26050,144539,NIFTY,-1625,2671,66922,8.16
938195,34.8,3055902,43283,3238747,9.65,185.25,26100,973989,NIFTY,-7489,35687,147158,7.83
1163453,47.1,2805883,24581,2904683,9.25,148.25,26150,1189065,NIFTY,1031,21605,77195,7.52
4889946,63.85,6933627,108640,7125967,8.79,113.85,26200,5012670,NIFTY,14084,46353,145987,7.27
5123719,84.2,4675231,91883,4745259,8.5,85.1,26250,5240010,NIFTY,24408,17591,52437,6.92
5766167,110.0,3572305,162987,3623779,8.27,61.3,26300,5967917,NIFTY,38763,3366,48108,6.57
2523323,141.25,832120,72602,843347,8.11,42.6,26350,2615938,NIFTY,20013,826,10401,6.18
3032139,177.0,871132,150407,883332,7.97,28.35,26400,3235588,NIFTY,53042,-1413,13613,5.56
1802103,219.0,170841,62970,173328,7.97,18.8,26450,1876601,NIFTY,11528,-454,2941,4.8
1667,422.5,12601,1536,17256,8.88,1207.0,59300,3143,BANKNIFTY,-60,-609,5264,11.57
3320,453.65,16714,2853,22550,8.89,1137.0,59400,6172,BANKNIFTY,-1,46,5790,11.54
34982,489.4,75745,13605,99403,8.96,1073.0,59500,48606,BANKNIFTY,19,1644,22014,11.55
25008,522.7,46972,2529,52081,9.08,1014.4,59600,27737,BANKNIFTY,200,66,5043,11.49
67833,558.3,85468,5653,91750,9.01,946.0,59700,75099,BANKNIFTY,1613,-269,6551,11.45
65686,600.05,80165,6295,88507,9.04,886.95,59800,72883,BANKNIFTY,902,1356,6986,11.47
32547,644.15,34884,4619,37819,9.08,831.0,59900,37461,BANKNIFTY,295,320,2615,11.49
104823,686.0,79747,30994,101468,9.08,774.2,60000,139013,BANKNIFTY,3196,1479,20242,11.46
25302,733.6,16110,3843,20313,9.04,717.6,60100,29816,BANKNIFTY,671,1129,3074,11.48
18737,779.1,7337,2160,8865,9.11,671.0,60200,21102,BANKNIFTY,205,385,1143,11.44
14224,830.95,2971,1848,3810,9.16,624.8,60300,16206,BANKNIFTY,134,175,664,11.46
492,8.5,2576,793,4037,12.63,66.35,1520,1182,RELIANCE,-103,-86,1547,16.44
345,10.55,2160,741,3195,12.74,58.2,1530,1001,RELIANCE,-85,-130,1165,16.28
1311,13.0,3193,1960,5895,12.98,50.75,1540,3116,RELIANCE,-155,67,2635,16.13
2603,15.95,5205,4242,9367,13.06,43.65,1550,6667,RELIANCE,-178,-112,4274,16.03
5501,19.5,6887,5398,10465,13.34,37.5,1560,10457,RELIANCE,-442,123,3455,16.0
8782,23.5,7096,2421,9391,13.32,31.45,1570,11216,RELIANCE,13,230,2065,15.94
14604,28.2,6445,4847,8177,13.49,26.4,1580,21737,RELIANCE,2286,338,1394,15.97
4930,33.6,1743,1100,2258,13.51,21.7,1590,6255,RELIANCE,225,94,421,16.1
18042,39.15,2788,9983,5549,13.5,17.55,1600,29841,RELIANCE,1816,147,2614,16.03
2755,45.65,534,725,733,13.55,14.1,1610,3558,RELIANCE,78,35,164,16.21
3828,53.1,228,2157,455,13.73,11.4,1620,6234,RELIANCE,249,25,202,16.68
27,20.25,626,146,1578,14.49,135.0,3040,161,TCS,-12,85,867,17.51
91,25.4,491,141,1370,14.89,120.3,3060,231,TCS,-1,-17,896,17.58
50,30.5,568,148,1157,15.34,106.9,3080,205,TCS,7,0,589,17.37
1680,37.3,2937,2296,6378,15.27,93.0,3100,4070,TCS,94,130,3311,17.43
1245,44.85,1221,706,2611,15.45,81.0,3120,1935,TCS,-16,130,1260,17.43
3303,53.5,1688,1834,3782,15.33,69.0,3140,5418,TCS,281,237,1857,17.48
3186,63.25,1397,2744,3477,15.46,59.0,3160,6030,TCS,100,202,1878,17.55
1568,74.1,426,1588,1394,15.54,49.9,3180,3259,TCS,103,71,897,17.67
7009,85.05,1548,8136,5680,15.58,41.75,3200,15385,TCS,240,152,3980,17.55
692,97.45,271,988,617,15.75,35.05,3220,1765,TCS,85,27,319,17.58
816,107.25,8,888,323,15.82,28.95,3240,1732,TCS,28,-2,317,16.57
26,6.2,1028,345,2786,13.32,111.55,1460,382,INFY,11,194,1564,21.91
37,9.05,1069,489,2811,11.96,92.0,1480,517,INFY,-9,186,1556,21.65
1601,13.35,2492,2515,6661,15.21,76.5,1500,3845,INFY,-271,61,4108,21.72
377,18.7,1412,1086,3163,16.42,62.2,1520,1428,INFY,-35,-26,1777,21.63
2010,25.75,2282,2164,4788,16.9,49.1,1540,4062,INFY,-112,-2,2508,21.7
4551,34.7,3307,3314,5764,17.34,38.0,1560,8138,INFY,273,248,2209,21.98
2931,45.4,1161,2479,2185,17.91,29.15,1580,5516,INFY,106,80,944,22.34
4665,58.0,798,6425,2287,18.23,21.7,1600,11381,INFY,291,61,1428,22.94
1663,71.5,98,1446,269,18.37,15.6,1620,3208,INFY,99,6,165,23.29
1438,87.6,19,1807,274,18.54,11.0,1640,3412,INFY,167,-3,258,24.55
1316,103.45,77,1532,188,18.84,7.75,1660,2940,INFY,92,-51,162,25.11
472,5.45,1147,669,2664,13.65,39.4,980,1222,HDFCBANK,81,-12,1529,15.23
91,6.65,219,239,902,13.08,35.0,985,332,HDFCBANK,2,39,644,15.25
308,7.7,1526,712,2898,13.14,31.3,990,984,HDFCBANK,-36,60,1312,14.94
275,9.0,1211,353,2151,13.43,28.05,995,572,HDFCBANK,-56,-18,958,14.71
4852,10.7,6600,5820,10947,13.57,24.9,1000,10821,HDFCBANK,149,-382,4729,14.69
2508,12.7,2700,1419,3916,13.41,21.65,1005,3956,HDFCBANK,29,-30,1246,14.74
8153,14.5,6136,3278,8191,13.36,18.75,1010,11667,HDFCBANK,236,-57,2112,14.43
3565,17.15,1593,1547,2219,13.31,16.1,1015,5281,HDFCBANK,169,-12,638,14.66
6036,19.6,2222,5767,3602,13.43,13.9,1020,12001,HDFCBANK,198,-30,1410,14.53
1455,22.85,384,585,759,13.39,11.75,1025,2007,HDFCBANK,-33,56,319,14.89
2430,25.5,366,1761,752,13.36,9.85,1030,4301,HDFCBANK,110,-3,389,14.55
348,5.75,460,272,1068,10.72,61.7,1340,455,ICICIBANK,-165,-25,633,15.69
343,7.2,2117,485,4344,10.88,52.95,1350,800,ICICIBANK,-28,155,2072,15.25
759,9.35,1244,2764,3388,11.84,45.65,1360,3833,ICICIBANK,310,14,2130,15.08
557,12.15,1823,2422,3707,11.85,38.1,1370,3016,ICICIBANK,37,-104,1988,15.03
2781,15.15,2752,3007,5567,11.94,31.35,1380,5798,ICICIBANK,10,-60,2875,14.74
4288,19.15,3747,1943,5267,12.18,25.6,1390,6614,ICICIBANK,383,-51,1571,14.72
13233,24.0,4490,9196,9787,12.25,20.4,1400,24694,ICICIBANK,2265,595,4702,14.83
2627,29.7,772,971,1468,12.19,15.75,1410,3570,ICICIBANK,-28,-12,708,15.06
3354,35.6,368,1915,1008,12.24,12.05,1420,5321,ICICIBANK,52,1,639,15.03
1992,42.45,151,765,436,12.37,9.15,1430,2700,ICICIBANK,-57,-12,297,15.25
2021,50.15,14,1192,133,12.46,6.8,1440,3592,ICICIBANK,379,-1,120,15.71
0,6.35,668,34,1486,0.0,115.6,2020,34,KOTAKBANK,0,155,663,17.25
134,8.55,1951,182,2520,12.89,106.5,2040,330,KOTAKBANK,14,-120,689,16.75
103,11.8,1294,272,1784,14.03,90.85,2060,373,KOTAKBANK,-2,-29,519,16.45
541,16.0,2130,574,3316,13.97,75.0,2080,1023,KOTAKBANK,-92,-333,1519,16.14
4942,22.05,3847,2200,6596,14.13,61.0,2100,6400,KOTAKBANK,-742,10,2739,16.13
4107,29.1,2984,1223,4072,14.1,48.25,2120,5257,KOTAKBANK,-73,101,987,15.94
5382,38.5,2310,1294,3124,14.39,38.0,2140,6661,KOTAKBANK,-15,43,771,16.09
2737,49.2,844,966,1496,14.29,28.55,2160,3854,KOTAKBANK,151,134,518,16.14
1669,63.5,166,501,273,14.62,21.8,2180,2270,KOTAKBANK,100,32,75,17.07
5875,77.0,243,4050,860,14.77,16.1,2200,9384,KOTAKBANK,-541,26,591,17.15
1303,92.9,11,518,85,15.01,11.85,2220,1821,KOTAKBANK,0,5,69,17.82
59,6.35,1093,358,3191,11.9,119.0,2000,413,BHARTIARTL,-4,99,1999,16.91
0,9.15,670,28,1286,0.0,118.7,2020,28,BHARTIARTL,0,101,515,16.76
35,13.0,1238,92,2159,14.93,87.75,2040,136,BHARTIARTL,9,118,803,16.67
84,17.7,1545,143,2604,15.03,72.8,2060,229,BHARTIARTL,2,104,955,16.44
223,23.85,1189,349,2018,14.98,59.0,2080,605,BHARTIARTL,33,65,764,16.3
2605,31.7,4509,1757,6398,14.82,46.5,2100,4914,BHARTIARTL,552,-446,2335,16.28
4060,41.8,2045,1992,3907,15.05,36.6,2120,6767,BHARTIARTL,715,431,1431,16.54
4077,52.8,1004,2763,2361,15.12,28.0,2140,7270,BHARTIARTL,430,162,1195,16.55
2440,65.05,257,2623,990,15.21,21.0,2160,5368,BHARTIARTL,305,22,711,16.47
1989,80.75,74,1568,307,15.37,15.6,2180,3814,BHARTIARTL,257,23,210,17.35
3896,96.45,391,4500,1047,15.48,11.3,2200,8929,BHARTIARTL,533,122,534,17.79
0,1.4,41,26,158,0.0,14.7,392,26,ITC,0,1,116,13.42
21,1.85,242,40,1001,7.83,13.1,395,63,ITC,2,32,727,13.33
23,2.4,197,62,468,9.12,11.25,397,79,ITC,-6,48,223,13.23
1260,3.1,1618,1960,4836,9.17,9.3,400,3230,ITC,10,619,2599,13.19
514,3.9,725,437,1552,9.61,7.7,402,980,ITC,29,96,731,13.06
1889,5.1,1251,2239,2910,9.87,6.25,405,4205,ITC,77,-20,1679,13.49
500,6.3,289,587,872,10.1,5.0,407,1091,ITC,4,3,580,13.57
2688,7.75,348,5419,2463,10.31,3.95,410,8362,ITC,255,-47,2162,13.86
226,9.15,28,301,124,10.67,3.15,412,561,ITC,34,0,96,13.74
1003,10.95,6,1930,470,10.77,2.4,415,3025,ITC,92,-2,466,14.19
117,13.2,2,185,36,11.14,1.9,417,331,ITC,29,0,34,15.46
1275,5.95,1450,807,3892,15.74,40.25,950,2020,SBIN,-62,81,2361,16.14
32,6.75,451,191,817,16.23,36.95,955,218,SBIN,-5,-50,416,15.67
627,8.5,1923,491,3774,14.78,32.0,960,956,SBIN,-162,-64,1915,16.04
237,10.0,1040,138,1597,15.64,29.45,965,367,SBIN,-8,-2,559,15.95
2862,11.65,3640,1265,6253,14.78,25.35,970,3802,SBIN,-325,489,2124,15.82
2990,13.8,2694,554,3633,14.56,22.1,975,3468,SBIN,-76,183,756,15.96
11389,15.8,5981,4658,11064,14.72,19.5,980,15905,SBIN,-142,547,4536,15.78
3784,18.25,1582,1286,2909,14.94,17.2,985,5012,SBIN,-58,164,1163,15.8
5360,20.8,1328,3611,3298,14.95,14.9,990,8990,SBIN,19,79,1891,15.73
1367,23.3,374,980,1036,15.13,13.0,995,2308,SBIN,-39,59,603,15.42
9242,27.5,830,8765,2918,14.93,10.9,1000,18236,SBIN,229,85,2003,16.45
30,28.15,209,83,433,12.86,150.6,3980,114,LT,1,6,218,16.38
670,33.55,2233,1425,4281,13.0,135.5,4000,2150,LT,55,1,2047,16.4
50,39.2,991,282,1189,13.32,122.0,4020,337,LT,5,-161,359,16.31
256,45.8,895,511,1241,13.33,108.25,4040,792,LT,25,-65,411,16.27
914,54.0,1177,504,1862,13.36,95.45,4060,1533,LT,115,49,636,16.43
1232,62.2,943,446,1561,13.63,84.75,4080,1821,LT,143,69,549,16.41
4344,71.85,1971,2126,3494,13.61,73.65,4100,6702,LT,232,1,1522,16.53
1233,81.55,670,1108,931,13.58,63.5,4120,2462,LT,121,23,238,16.49
1367,94.1,549,1103,716,13.71,55.0,4140,2416,LT,-54,-9,176,16.89
662,104.1,128,403,313,13.65,46.55,4160,1080,LT,15,-48,233,16.59
500,124.0,25,279,65,13.89,40.4,4180,849,LT,70,-1,41,18.25
7,6.5,390,181,973,11.59,64.85,1230,188,AXISBANK,0,131,452,18.46
18,8.25,448,261,1009,12.05,56.15,1240,281,AXISBANK,2,29,532,18.21
61,10.9,620,299,1362,13.32,48.9,1250,387,AXISBANK,27,7,735,18.39
157,13.55,798,256,1533,14.47,42.6,1260,437,AXISBANK,24,-1,736,18.17
401,17.0,848,281,1985,14.68,36.0,1270,682,AXISBANK,0,20,1117,18.19
2116,20.85,2228,1105,3532,14.64,29.75,1280,3395,AXISBANK,174,-3,1307,18.1
2051,25.8,1168,922,1721,15.01,24.8,1290,3045,AXISBANK,72,-74,627,18.37
3613,30.75,909,3334,1989,15.02,20.0,1300,7222,AXISBANK,275,48,1032,18.26
638,36.55,150,589,251,15.28,16.25,1310,1258,AXISBANK,31,3,98,18.34
798,43.55,37,1026,133,15.39,12.9,1320,1886,AXISBANK,62,2,94,18.9
435,52.45,18,415,101,15.52,10.15,1330,841,AXISBANK,-9,3,80,20.51
5,96.1,413,64,835,14.1,682.8,15400,70,MARUTI,1,45,377,17.1
156,117.0,4264,342,7273,14.98,615.0,15500,564,MARUTI,66,722,2287,16.89
2,143.25,843,29,1109,15.69,552.0,15600,32,MARUTI,1,17,249,16.8
55,172.95,954,94,1285,15.47,480.0,15700,160,MARUTI,11,-5,336,16.66
507,209.7,2114,270,2969,15.86,423.4,15800,837,MARUTI,60,138,717,16.66
2722,251.15,3313,492,4005,15.79,364.0,15900,3330,MARUTI,116,115,577,16.66
6716,297.55,3959,2254,5587,15.68,309.0,16000,9392,MARUTI,422,156,1472,16.65
2512,350.15,1079,742,1738,15.91,265.8,16100,3338,MARUTI,84,42,617,16.7
2472,411.15,496,1926,869,15.95,224.1,16200,4541,MARUTI,143,-33,406,16.95
1621,465.0,32,841,226,15.87,185.25,16300,2479,MARUTI,17,5,189,16.54
