oi_ratio,timestamp,option_type,symbol,atm,score,volume,iv,pcr_oi,coi,strike,oi,signal,ltp,distance_from_atm,pcr_volume
0.56,2025-11-28 10:12:29,PE,RELIANCE,1580,56.1,2485,16.7,0.72,366,1570,2201,SELL,21.85,1,0.53
0.69,2025-11-28 10:12:31,PE,INFY,1560,63.05,1332,22.05,0.82,-32,1560,1929,SELL,33.75,0,0.73
0.7,2025-11-28 10:12:32,PE,HDFCBANK,1005,63.75,691,15.48,0.67,12,1005,1288,STRONG SELL,13.35,0,0.65
0.68,2025-11-28 10:12:34,PE,KOTAKBANK,2120,63.45,562,16.29,0.74,27,2120,913,SELL,30.5,0,0.54
0.84,2025-11-28 10:12:37,PE,ITC,402,63.87,205,12.55,0.69,54,402,689,SELL,3.95,0,0.53
0.64,2025-11-28 10:12:41,PE,MARUTI,16000,53.47,677,16.77,0.84,50,15900,512,SELL,222.75,1,0.54
0.7,2025-11-28 10:12:42,PE,HINDUNILVR,2460,66.36,1482,10.41,0.66,385,2460,1945,STRONG SELL,18.8,0,0.37
0.52,2025-11-28 10:12:44,PE,ADANIENT,2300,64.36,1933,30.07,0.66,597,2300,2292,STRONG SELL,71.35,0,0.33
0.47,2025-11-28 10:12:46,PE,SUNPHARMA,1820,63.03,124,15.92,0.73,37,1820,129,SELL,26.6,0,0.35
0.57,2025-11-28 10:12:47,PE,WIPRO,250,62.7,479,20.51,0.74,101,250,1230,SELL,4.83,0,0.33
