symbol,current_price,atm_strike,strikes_analyzed,pcr_oi,pcr_volume,oi_ratio,timestamp
NIFTY,26068.15,26050,11,,,,2025-11-22 16:25:13
BANKNIFTY,58867.7,58900,11,,,,2025-11-22 16:25:15
RELIANCE,1543.7,1540,11,,,,2025-11-22 16:25:17
TCS,3150.0,3140,11,,,,2025-11-22 16:25:19
INFY,1544.1,1540,11,,,,2025-11-22 16:25:21
HDFCBANK,998.0,1000,11,,,,2025-11-22 16:25:22
ICICIBANK,1369.0,1370,11,,,,2025-11-22 16:25:24
KOTAKBANK,2086.5,2080,11,,,,2025-11-22 16:25:25
BHARTIARTL,2165.0,2160,11,,,,2025-11-22 16:25:28
ITC,408.0,407,11,,,,2025-11-22 16:25:30
SBIN,972.45,970,11,,,,2025-11-22 16:25:32
